NOSE_X,NOSE_Y,LEFT_EYE_INNER_X,LEFT_EYE_INNER_Y,LEFT_EYE_X,LEFT_EYE_Y,LEFT_EYE_OUTER_X,LEFT_EYE_OUTER_Y,RIGHT_EYE_INNER_X,RIGHT_EYE_INNER_Y,RIGHT_EYE_X,RIGHT_EYE_Y,RIGHT_EYE_OUTER_X,RIGHT_EYE_OUTER_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,MOUTH_LEFT_X,MOUTH_LEFT_Y,MOUTH_RIGHT_X,MOUTH_RIGHT_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,vitesse
-0.3333259113145189,-1.2541703181080377,-0.3352350839462352,-1.310191265265382,-0.3207780685653414,-1.32323222221266,-0.30548670677389106,-1.3355719806144415,-0.3814797332392647,-1.2602081292926417,-0.3974798776303884,-1.2408469932628456,-0.4131011206657908,-1.221346531628494,-0.26225518713786306,-1.324393084757037,-0.4098556477331312,-1.1681731707998824,-0.26442734061509326,-1.2370116717721813,-0.33136480549062114,-1.1651820399225479,0.08084561572628896,-0.9967266357521691,-0.3988243144662767,-0.8636447670306517,LENT
-0.3359583552241732,-1.252991205104583,-0.3426289101577747,-1.2942330403567808,-0.329087282199858,-1.304373991257743,-0.3152769417067935,-1.31435715993071,-0.38804305632589553,-1.248847401702317,-0.40606793544227887,-1.227513415118301,-0.42329775473927395,-1.2051878142357073,-0.2788463718744806,-1.2935956103187898,-0.4258484912018856,-1.1339013462880199,-0.2733375616418161,-1.2237090594722355,-0.33591485712846847,-1.1614167374910884,0.05932855687146985,-0.9982385097458165,-0.41015777274917314,-0.8311495186297064,LENT
-0.3003127383590676,-1.2961580667137074,-0.30189102678360685,-1.3495438469327234,-0.28742713360896766,-1.3611102116706777,-0.271090006248686,-1.3724135947222464,-0.34964933747426874,-1.3025116484939063,-0.3672471040430468,-1.28334814014674,-0.3844356109635691,-1.2652858489407077,-0.22331436923714904,-1.3564926475809151,-0.3886189216893305,-1.2057085975758872,-0.23406087039507523,-1.2667817875528122,-0.3038506934205112,-1.2134655117704098,0.08987481282879713,-0.995953070189047,-0.39898703193159424,-0.8639629501407954,LENT
-0.2826060665092669,-1.3418311046345437,-0.28122529731224877,-1.3891127324229189,-0.26500053945398944,-1.3967663459534416,-0.24687552729420387,-1.40425975406179,-0.3323321637447759,-1.3527255360666466,-0.3499880763307759,-1.3337742526168224,-0.3702716457577498,-1.3137545388466512,-0.2035236110055192,-1.375603343360136,-0.3789668516014385,-1.2483629117300934,-0.21902672467069884,-1.2989061800118271,-0.29439442980123554,-1.254903262100688,0.09811790335540094,-0.9951747972296828,-0.4089708181808791,-0.8812061200471186,LENT
-0.30290103461058115,-1.2903053658110095,-0.3091886888891143,-1.339581348120738,-0.29430293049205786,-1.3513615217288981,-0.27995256500019,-1.362663563977825,-0.3564984535019881,-1.2892569135332492,-0.3752347576731596,-1.2683102015106569,-0.39214246561901017,-1.2477631475443376,-0.23946034067258423,-1.3459633845199854,-0.39218641882703614,-1.187528284343008,-0.23340989094595,-1.266544118780742,-0.29989834723908243,-1.2014460523674837,0.09861855729890176,-0.9951253087708518,-0.3976862806879347,-0.8811190494788295,LENT
-0.3071016431378031,-1.2673908051728,-0.3120494076870486,-1.3133742470755556,-0.29773707502304864,-1.323030773392098,-0.2833189320040385,-1.3328406393114374,-0.35817729629951717,-1.2709211330005106,-0.3765257966080575,-1.2506651322464222,-0.393909342653384,-1.2300590429103242,-0.24346892348618318,-1.3144132585388104,-0.39485490337574636,-1.1653547547631389,-0.24158885535489732,-1.2397810349878249,-0.30615437417609087,-1.1780671705491945,0.09061546551060742,-0.9958859560262389,-0.3926043482749228,-0.8584804079435063,LENT
-0.3098369348468546,-1.263235276558689,-0.3136630841299691,-1.3123407438168142,-0.29909111322700965,-1.322916507652983,-0.28458762804296434,-1.3334167461221844,-0.360244938127555,-1.2673364749478675,-0.3783173237415842,-1.246758980291038,-0.3954248753067723,-1.225829201532365,-0.2444901949996424,-1.3157401395783257,-0.3940215717506408,-1.1663384432011006,-0.24253699436418408,-1.2368594249335443,-0.30878138990453313,-1.1731091766983133,0.08824460306865535,-0.9960988354722917,-0.38964854238022245,-0.8576990530544332,LENT
-0.2889699008969375,-1.283002783172986,-0.2946527194998075,-1.3338080662067706,-0.2799445272451241,-1.346256500844652,-0.2654611776322929,-1.3574536545126485,-0.3418576998346909,-1.282552207227408,-0.36006391711646474,-1.2616430290843188,-0.3763783685788519,-1.242368017554304,-0.22284478830742738,-1.33763335999117,-0.37636698789935674,-1.1842664819337418,-0.22181676658050808,-1.2580279315020737,-0.2903911993222374,-1.197874310924889,0.09277351792079333,-0.995687237224923,-0.38232304177254106,-0.8688948890444902,LENT
-0.2657808401456537,-1.3204801115507891,-0.25124507627802806,-1.3896447763175197,-0.23152445284901477,-1.3996906285191049,-0.2117423717605514,-1.4094477791623916,-0.30103343928985277,-1.358276945715384,-0.3177172324158873,-1.3465298931958294,-0.33389021712317957,-1.3355111326208982,-0.16131720278804176,-1.3794402363296039,-0.33855221957575005,-1.2987354949906462,-0.21016856999499836,-1.275279964439916,-0.2786501487550599,-1.2384930720255245,0.05576806251534036,-0.998443750645616,-0.396158501233396,-0.9176701729920463,LENT
-0.2671399953950269,-1.2880527064153744,-0.25727473971646075,-1.354208334513981,-0.24040307711681505,-1.3634446219963559,-0.22266493948540841,-1.3733054048531597,-0.30151219933407464,-1.3242306332280138,-0.31622966151664084,-1.3123805181642823,-0.3307142685982699,-1.301691100347825,-0.17455831013067682,-1.3519543454433882,-0.3318384676199652,-1.2641462344764594,-0.21123419619009484,-1.2449700399203085,-0.27467115376524026,-1.206919253179428,0.05174321236021827,-0.9986604227537232,-0.3806240713181888,-0.9075814266885801,LENT
-0.2899118075316371,-1.3085085860923376,-0.27525515981926385,-1.362881612555747,-0.2584394906658237,-1.368503070984519,-0.24135049362780556,-1.3743238795376327,-0.31833253058576144,-1.3389552512732343,-0.3324770245734253,-1.3273552158517425,-0.34681213115469495,-1.3169653956490324,-0.19217746295671836,-1.348203143420458,-0.34297738574191516,-1.272075412929283,-0.23634456063353365,-1.2687027708728398,-0.29493136211228793,-1.234065630758562,0.04074180639670321,-0.9991697079132921,-0.3962116206993325,-0.9092304057594393,LENT
-0.24603246242584229,-1.328032176820965,-0.21898187910069888,-1.3929069771927645,-0.1978147545425647,-1.3956104549642643,-0.17766529574667594,-1.398053768800605,-0.27600708362768106,-1.3847907065790637,-0.2942878882424188,-1.3814414439067246,-0.31038518373756296,-1.3783594397331895,-0.14437167602374054,-1.3671646673254743,-0.3354082485386844,-1.335734942139726,-0.2047277332794276,-1.265743255092916,-0.27766451738235826,-1.2515764891504535,0.027553309493255827,-0.9996203354954164,-0.4216899068565737,-0.9270935094056038,LENT
-0.2629221966786269,-1.2609913084547708,-0.25151429999264263,-1.3316922992138898,-0.23364567080797405,-1.3385891248892423,-0.2152522257330099,-1.3457318405070544,-0.29751904139893903,-1.3119293371355392,-0.3125239234183257,-1.3040559796752327,-0.32776068417463894,-1.2962168220904113,-0.17378621963453048,-1.322480983535821,-0.3381949587509399,-1.2614081082461852,-0.21201075795340554,-1.2117968914886816,-0.27793218182079515,-1.1810920731741819,0.028927364838214623,-0.9995815162174202,-0.40731693588720946,-0.9037826513897049,LENT
-0.2808582711672741,-1.2905721697091523,-0.2696197027623775,-1.359579828858448,-0.25318379814359593,-1.366178686829547,-0.23648069595536428,-1.37332305810634,-0.3141324134162115,-1.338987266515998,-0.32907324097183177,-1.3304778916883704,-0.34453933411475707,-1.3224778735264573,-0.18892007094283977,-1.3469256828025453,-0.3477167796361749,-1.2830178273307897,-0.23044579117634909,-1.2362549533836176,-0.29228214235206673,-1.2064833500453156,0.030777255083537857,-0.9995262680737925,-0.4023709758463208,-0.9051113380107472,LENT
