NOSE_X,NOSE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,RIGHT_PINKY_X,RIGHT_PINKY_Y,RIGHT_INDEX_X,RIGHT_INDEX_Y,RIGHT_THUMB_X,RIGHT_THUMB_Y,action
-0.1562999157972833,-1.2057816630438105,-0.05148013904901551,-1.2630584614253295,-0.25869565497006985,-1.266471202271145,0.0802746648411088,-0.9967727816230977,-0.4081180609521516,-0.9970108778574281,0.0,0.0,-0.2768767813985751,0.003726429889555192,-0.6529201798589331,-0.6749659992261595,-0.8479954905888045,-0.31164998049443204,-0.9243188474900196,-0.20629083427030978,-0.8814945918858414,0.10110702957952195,-0.8489877412312001,-0.2240773577875729,ARRIERE
-0.1540165585083425,-1.1969301694196504,-0.052249614433432096,-1.2564858425716101,-0.2602808551533351,-1.2610767301610282,0.07612460726437614,-0.9970983121883442,-0.4094569447971416,-0.9923307660743496,0.0,0.0,-0.2750537398566128,0.001983836029751821,-0.6232178904193936,-0.6745044187231348,-0.7435335159042163,-0.2982830502061752,-0.8102262187402125,-0.1924840260007629,-0.7427125659102624,0.10011037523313651,-0.7098798772888509,-0.22149143160968124,ARRIERE
-0.15071973430964616,-1.1903735312494488,-0.05249405052361534,-1.2471262919375392,-0.25869354202252864,-1.2572749786350326,0.0768577812933424,-0.9970420660406785,-0.40538040462177305,-0.9861216908216855,0.0,0.0,-0.2778161337225267,0.007514115600210162,-0.6464698496926428,-0.7851834129217521,-0.719830276864719,-0.3863203138720896,-0.7770728813705611,-0.2638316093496326,-0.7069106303565025,0.03168688530176854,-0.68030943304291,-0.29947908118714717,ARRIERE
-0.15660983594259106,-1.2211484534037795,-0.06464371043443498,-1.2714781096148167,-0.26537801711390296,-1.2794194783524524,0.07189431676681085,-0.9974122553972523,-0.4256545111051407,-0.9813951782422068,0.0,0.0,-0.28033294463897834,0.002854081313022967,-0.6539589375649674,-0.7137575031771126,-0.7188788001097847,-0.31442737032117773,-0.7732006885365058,-0.18636021569652494,-0.7005582475100184,0.11725391433195063,-0.6749162672801953,-0.23021422380376835,ARRIERE
-0.16524956668390348,-1.265121385814842,-0.06759522753895049,-1.3175472131144088,-0.26939126846367756,-1.3160675966705517,0.07698955447263894,-0.9970318994405869,-0.43026204277074437,-0.9841486442014254,0.0,0.0,-0.2819747581535627,0.0002663621133577724,-0.6523767187727785,-0.6479254945931864,-0.7788237812304012,-0.26207245450165,-0.8523212055138135,-0.13161628743465775,-0.7842392916442834,0.20472792799443493,-0.743505186140466,-0.16546435250760524,ARRIERE
-0.14088144383579654,-1.3765205670306486,-0.06765504211836422,-1.4024518236284598,-0.23951993804211447,-1.3946622211982,0.08933014366601273,-0.9960020709981529,-0.369775308204731,-1.0242696500389288,0.0,0.0,-0.2905398169943207,-0.005229923565594472,-0.5894853240342556,-0.6009843389112859,-0.6305136445680134,-0.15636225601590528,-0.6592572359790367,0.002194861976674295,-0.6125454788595653,0.3090448608522805,-0.5777105242125583,-0.062198110184313225,ARRIERE
-0.13612471022748446,-1.3787710770283104,-0.06422674314785193,-1.4090171251818793,-0.23467440951605775,-1.3986459025005542,0.0973737425337885,-0.9952478858379773,-0.3651164198939615,-1.0262111477291638,0.0,0.0,-0.28737276336899087,-0.010952696779074301,-0.5837518709734557,-0.6040129996425301,-0.6328388617174676,-0.16146512864645732,-0.6633735213383285,-0.001169239916983619,-0.6150496994057507,0.31284258719471525,-0.5779083921329633,-0.06103956109956455,ARRIERE
-0.12280701501473015,-1.3455395822141478,-0.06589050088748283,-1.39564839645396,-0.2277371525692897,-1.3755530445873647,0.0910024529569048,-0.9958506683011396,-0.37013525005365105,-1.013861166016484,0.0,0.0,-0.27691243183765374,0.0023006214500932015,-0.6050789043474378,-0.6420721342008379,-0.626377888984305,-0.18661959487740976,-0.6540087089206047,-0.028020083472127977,-0.6046732534218242,0.29847890909855807,-0.5743756589210954,-0.09419353995657381,ARRIERE
-0.14835171399357008,-1.3433378642473701,-0.05796432087097083,-1.3767791729273648,-0.23659402237374452,-1.3567444418564878,0.10320941412817831,-0.9946596487418791,-0.35243667970617926,-0.9897122318862435,0.0,0.0,-0.27963196695384585,-0.007141716358764709,-0.572554586107564,-0.6136531135412876,-0.6269966978729521,-0.16989436432120092,-0.6576108650283468,-0.0208143688441043,-0.6191848041570095,0.3039752523339736,-0.5852976533837372,-0.07997358208252123,ARRIERE
-0.13107669692530521,-1.3402144573883772,-0.048642889603687366,-1.3663707917837578,-0.22686606759219796,-1.365575335057715,0.099227733980681,-0.9950647500585372,-0.35527344501856567,-1.0079751710381313,0.0,0.0,-0.2810219052529394,-0.00916891498781657,-0.5777640967503846,-0.6358501271323959,-0.6559522103381495,-0.20592377918089014,-0.6877695908721438,-0.05547551393918258,-0.6464357272865473,0.2182898680243347,-0.6128146760892167,-0.1172300311334078,ARRIERE
0.008470044143680687,-1.3242349016191317,-0.06387723024926863,-1.3652177581525362,-0.11725939430671223,-1.3548939817324939,0.08300460196683719,-0.9965491638912387,-0.35381319028410024,-0.9975595946411818,0.0,0.0,-0.259070183884011,0.003711708311946367,-0.5866004419235014,-0.5870111712475331,-0.6321246616969844,-0.14479440194409116,-0.6555717642489267,0.014679745629743314,-0.6032646858613558,0.30161012560298006,-0.5686503389410225,-0.05129090608103154,ARRIERE
-0.1377874739477264,-1.3899998674526741,-0.036533671865008,-1.4081718445113423,-0.22647530411367336,-1.4055658339161912,0.11751302452969184,-0.9930713413777905,-0.3593096165244857,-1.0165817201558063,0.0,0.0,-0.283881602075181,-0.005297989340873786,-0.5619916552108261,-0.6124637033655786,-0.6130061844388016,-0.19433328215594756,-0.6398253083351031,-0.03173694297131386,-0.5925779475514109,0.20957139401446376,-0.5577576870566436,-0.09479921046992218,ARRIERE
-0.16952104376527324,-1.382232255781567,-0.06872860397103275,-1.4170902587373184,-0.24647169495775265,-1.401514155522075,0.09935740644740912,-0.9950518106028673,-0.3747038129485917,-1.012185950541664,0.0,0.0,-0.28295973307323224,-0.0010775088542918432,-0.5657065191588252,-0.5935690430098158,-0.6045784893656474,-0.15852168589999446,-0.6293364435519244,0.009860301960708112,-0.5813902752777551,0.24746443145977365,-0.5474160857866358,-0.05110930924734369,ARRIERE
-0.15671552936358943,-1.3595271625411693,-0.0692583667683118,-1.3897698747813791,-0.24419993224916334,-1.3853823696473566,0.09258432718243337,-0.9957048470104863,-0.3786610001567201,-1.0185242235966918,0.0,0.0,-0.30425272101956546,-0.007428612568878472,-0.6141477476134579,-0.6123609414512834,-0.6648318018828157,-0.18486615878519058,-0.6892420969939093,-0.025299669196364904,-0.6462902918276735,0.35519598590469936,-0.6091003785363583,-0.0798937747681276,ARRIERE
-0.11963520810743447,-1.3651660632335603,-0.039549373588815176,-1.381036833145612,-0.21760202834738698,-1.388464719244107,0.09876419000554719,-0.9951108655685297,-0.3563948199270677,-1.017172066108142,0.0,0.0,-0.27662247111636173,-0.01291969739073042,-0.6342580995814013,-0.8081976356092556,-0.593541719676251,-0.45646006943683853,-0.6145594388043862,-0.32826185779823985,-0.5540614922367094,-0.1290307451745778,-0.5249431801073269,-0.377510872523768,ARRIERE
-0.11492226386489411,-1.340595865588243,-0.03389105253384735,-1.3702340371019852,-0.19823754199069293,-1.3659811108778985,0.13098775901322546,-0.9913839856426434,-0.3584081780125006,-1.004003852478689,0.0,0.0,-0.25951190101580357,-0.023776571187675614,-0.58439554037927,-0.65083590085779,-0.7535219892845537,-0.28304635967670805,-0.8236153739440721,-0.14731814949517869,-0.7743425816913073,0.31065894076389805,-0.7359578013220754,-0.18425938590811666,ARRIERE
